0	5.5	6
10	5.5	6
20	5.5	6
30	5.5	6
40	6	6
50	6.5	6
60	7.5	6
70	11	6
80	19	6
90	32.5	6
100	42	6
110	40.5	6
120	40.5	6
130	30	6
140	28.5	6
150	28	6
160	25	6
170	23	6
180	22.5	6
190	23	6
200	26.5	6
210	26.5	6
220	25.5	6
230	24.5	6
240	25	6
250	32.5	6
260	27	6
270	34.5	6
280	29	6
290	26	6
300	28	6
310	28.5	6
320	29	6
330	34	6
340	30.5	6
350	26.5	6
360	31.5	6
370	32	6
380	28	6
390	28	6
400	31	6
410	32.5	6
420	30	6
430	27.5	6
440	31.5	6
450	31.5	6
460	31.5	6
470	31.5	6
480	31	6
490	31.5	6
500	33.5	6
510	34	6
520	35.5	6
530	32.5	6
540	34.5	6
550	38	6
560	42	6
570	43.5	6
580	42.5	6
590	30.5	6
600	30.5	6
